price,areaM2,lat,lng,nrOfRooms,floorNr,nrOfFloors,yearBuilt
275000,27.72,52.215506,21.04066499999999,1,0,3,1954
495000,65.4,52.21630203375341,20.980417877246055,3,4,6,1957
599000,55,52.206789,21.008104000000003,2,4,4,
350000,49,52.180664,21.097587900000008,2,0,2,2004
750000,72.69,52.194286,21.05913099999998,3,1,1,
365000,48,52.2320749,21.066968999999972,3,1,4,1964
407000,59,52.1713769,21.056646600000022,3,4,4,1989
220000,28,52.1895772,20.988665500000025,1,9,10,
469000,44,52.2015148,21.01856459999999,2,1,2,1953
510000,76,52.1969319,21.023750999999947,3,4,4,1937
479000,48,52.2001003,21.008895100000018,2,2,3,1951
540000,55,52.1924889,20.989112999999975,2,3,4,2005
580000,61,52.1939274,21.023918600000002,2,3,3,1939
325000,47,52.2613239,20.96038090000002,3,3,4,1971
599000,53.4,52.219386,21.021003899999982,2,1,6,1950
333000,42.36,52.1464348,21.048619299999928,2,3,3,1980
475000,64,52.20012389999999,21.02898600000003,3,5,10,1986
340000,47,52.194157,21.034695499999998,3,5,10,
388000,60,52.1481523,21.039037699999994,3,0,4,
400000,46,52.19974490000001,21.036490400000048,2,1,4,
480000,56,52.1319293,21.064269299999978,2,4,7,2002
230000,36,52.1930646,21.007555499999967,1,0,4,1950
370000,50.23,52.2132839,20.972751000000017,2,3,4,1953
390000,48,52.22928109999999,20.960132899999962,2,1,4,1994
309000,28.5,52.2104453,21.00849160000007,1,9,15,1970
416000,43,52.209699,21.00634100000002,2,5,10,1964
467000,57.6,52.13012,21.077088000000003,2,1,3,2000
310000,53,52.1943843,20.892994799999997,2,3,4,1954
446000,54.4,52.19302159999999,21.066820600000028,2,4,7,2004
525000,60,52.1704,21.061208899999997,3,1,3,1986
388000,59.4,52.15792,21.03522399999997,3,3,3,1982
450000,55,52.2614829,20.981973700000026,3,2,4,1965
380000,47.3,52.1440826,21.04632330000004,2,6,8,1985
353000,48,52.1785584,21.04696009999998,2,7,11,1976
400000,59,52.1834552,21.018616399999928,3,8,10,1976
294000,38,52.1762329,21.006394,2,7,10,1970
630000,64.6,52.2374279,21.02909599999998,3,1,5,1963
757000,74,52.2258922,21.011247599999933,2,3,5,1916
485000,36,52.22329089999999,21.012518900000032,2,2,6,
460000,49.34,52.1951098,21.006448500000033,2,2,4,1963
599000,55,52.2564196,20.967187299999978,3,1,5,2015
415000,34,52.226509,21.02380389999996,1,4,4,1935
396000,50,52.22637169999999,21.061523999999963,3,3,4,1976
550000,75.3,52.15695960000001,21.07715250000001,2,1,4,2012
262000,28.5,52.2007264,21.011372700000038,1,3,3,1952
485000,55,52.1752196,20.997265800000037,3,5,6,2015
330000,38,52.1722079,21.010794600000054,2,1,4,2003
360000,43.7,52.1454435,21.056131999999934,2,8,10,2001
232500,41,52.2885559,21.021476500000063,2,0,10,
380000,53,52.1318138,21.073732999999947,2,2,4,1991
499900,65.3,52.1280648,21.063634699999966,2,1,2,2000
549000,55,52.25228389999999,21.006756699999983,3,0,2,1960
350000,50,52.175554,21.06786299999999,2,6,10,1979
750000,73.48,52.2049473,21.009724399999982,3,3,5,1939
